Date,Temp,WeekOfYear,SinWeek,CosWeek
2021-11-21,5.1,46,-0.6631226582407956,0.7485107481711007
2021-11-22,4.1,47,-0.5680647467311559,0.8229838658936564
2021-11-23,3.9,47,-0.5680647467311559,0.8229838658936564
2021-11-24,5.2,47,-0.5680647467311559,0.8229838658936564
2021-11-25,3.8,47,-0.5680647467311559,0.8229838658936564
2021-11-26,4.6,47,-0.5680647467311559,0.8229838658936564
2021-11-27,2.4,47,-0.5680647467311559,0.8229838658936564
2021-11-28,0.3,47,-0.5680647467311559,0.8229838658936564
2021-11-29,3.0,48,-0.4647231720437684,0.88545602565321
2021-11-30,4.7,48,-0.4647231720437684,0.88545602565321
2021-12-01,7.6,48,-0.4647231720437684,0.88545602565321
2021-12-02,2.7,48,-0.4647231720437684,0.88545602565321
2021-12-03,4.0,48,-0.4647231720437684,0.88545602565321
2021-12-04,4.8,48,-0.4647231720437684,0.88545602565321
2021-12-05,5.0,48,-0.4647231720437684,0.88545602565321
2021-12-06,3.8,49,-0.35460488704253595,0.9350162426854147
2021-12-07,4.2,49,-0.35460488704253595,0.9350162426854147
2021-12-08,5.0,49,-0.35460488704253595,0.9350162426854147
2021-12-09,5.5,49,-0.35460488704253595,0.9350162426854147
2021-12-10,4.9,49,-0.35460488704253595,0.9350162426854147
2021-12-11,6.2,49,-0.35460488704253595,0.9350162426854147
2021-12-12,8.5,49,-0.35460488704253595,0.9350162426854147
2021-12-13,9.8,50,-0.2393156642875578,0.970941817426052
2021-12-14,9.2,50,-0.2393156642875578,0.970941817426052
2021-12-15,9.4,50,-0.2393156642875578,0.970941817426052
2021-12-16,9.5,50,-0.2393156642875578,0.970941817426052
2021-12-17,7.1,50,-0.2393156642875578,0.970941817426052
2021-12-18,5.3,50,-0.2393156642875578,0.970941817426052
2021-12-19,3.5,50,-0.2393156642875578,0.970941817426052
2021-12-20,3.5,51,-0.12053668025532363,0.992708874098054
2021-12-21,3.5,51,-0.12053668025532363,0.992708874098054
2021-12-22,2.7,51,-0.12053668025532363,0.992708874098054
2021-12-23,5.3,51,-0.12053668025532363,0.992708874098054
2021-12-24,6.9,51,-0.12053668025532363,0.992708874098054
2021-12-25,5.4,51,-0.12053668025532363,0.992708874098054
2021-12-26,5.5,51,-0.12053668025532363,0.992708874098054
2021-12-27,6.5,52,6.432490598706546e-16,1.0
2021-12-28,8.4,52,6.432490598706546e-16,1.0
2021-12-29,9.6,52,6.432490598706546e-16,1.0
2021-12-30,11.4,52,6.432490598706546e-16,1.0
2021-12-31,12.9,52,6.432490598706546e-16,1.0
2022-01-01,12.7,52,6.432490598706546e-16,1.0
2022-01-02,9.9,52,6.432490598706546e-16,1.0
2022-01-03,8.7,1,0.12053668025532305,0.992708874098054
2022-01-04,3.2,1,0.12053668025532305,0.992708874098054
2022-01-05,3.0,1,0.12053668025532305,0.992708874098054
2022-01-06,1.4,1,0.12053668025532305,0.992708874098054
2022-01-07,3.4,1,0.12053668025532305,0.992708874098054
2022-01-08,5.0,1,0.12053668025532305,0.992708874098054
2022-01-09,4.8,1,0.12053668025532305,0.992708874098054
2022-01-10,5.4,2,0.23931566428755774,0.970941817426052
2022-01-11,6.9,2,0.23931566428755774,0.970941817426052
2022-01-12,3.6,2,0.23931566428755774,0.970941817426052
2022-01-13,3.9,2,0.23931566428755774,0.970941817426052
2022-01-14,2.2,2,0.23931566428755774,0.970941817426052
2022-01-15,1.8,2,0.23931566428755774,0.970941817426052
2022-01-16,3.9,2,0.23931566428755774,0.970941817426052
2022-01-17,4.7,3,0.3546048870425356,0.9350162426854148
2022-01-18,2.1,3,0.3546048870425356,0.9350162426854148
2022-01-19,3.6,3,0.3546048870425356,0.9350162426854148
2022-01-20,2.3,3,0.3546048870425356,0.9350162426854148
2022-01-21,1.2,3,0.3546048870425356,0.9350162426854148
2022-01-22,3.6,3,0.3546048870425356,0.9350162426854148
2022-01-23,4.6,3,0.3546048870425356,0.9350162426854148
2022-01-24,3.7,4,0.4647231720437685,0.8854560256532099
2022-01-25,3.1,4,0.4647231720437685,0.8854560256532099
2022-01-26,5.1,4,0.4647231720437685,0.8854560256532099
2022-01-27,7.9,4,0.4647231720437685,0.8854560256532099
2022-01-28,6.1,4,0.4647231720437685,0.8854560256532099
2022-01-29,8.3,4,0.4647231720437685,0.8854560256532099
2022-01-30,4.2,4,0.4647231720437685,0.8854560256532099
2022-01-31,5.5,5,0.5680647467311558,0.8229838658936564
2022-02-01,8.5,5,0.5680647467311558,0.8229838658936564
2022-02-02,9.6,5,0.5680647467311558,0.8229838658936564
2022-02-03,8.7,5,0.5680647467311558,0.8229838658936564
2022-02-04,5.0,5,0.5680647467311558,0.8229838658936564
2022-02-05,5.6,5,0.5680647467311558,0.8229838658936564
2022-02-06,6.6,5,0.5680647467311558,0.8229838658936564
2022-02-07,5.9,6,0.6631226582407952,0.7485107481711011
2022-02-08,7.9,6,0.6631226582407952,0.7485107481711011
2022-02-09,9.0,6,0.6631226582407952,0.7485107481711011
2022-02-10,5.8,6,0.6631226582407952,0.7485107481711011
2022-02-11,4.2,6,0.6631226582407952,0.7485107481711011
2022-02-12,5.2,6,0.6631226582407952,0.7485107481711011
2022-02-13,7.6,6,0.6631226582407952,0.7485107481711011
2022-02-14,6.6,7,0.7485107481711011,0.6631226582407953
2022-02-15,7.0,7,0.7485107481711011,0.6631226582407953
2022-02-16,10.5,7,0.7485107481711011,0.6631226582407953
2022-02-17,8.4,7,0.7485107481711011,0.6631226582407953
2022-02-18,6.7,7,0.7485107481711011,0.6631226582407953
2022-02-19,6.2,7,0.7485107481711011,0.6631226582407953
2022-02-20,7.1,7,0.7485107481711011,0.6631226582407953
2022-02-21,7.2,8,0.8229838658936564,0.5680647467311558
2022-02-22,8.2,8,0.8229838658936564,0.5680647467311558
2022-02-23,6.6,8,0.8229838658936564,0.5680647467311558
2022-02-24,4.8,8,0.8229838658936564,0.5680647467311558
2022-02-25,6.4,8,0.8229838658936564,0.5680647467311558
2022-02-26,5.8,8,0.8229838658936564,0.5680647467311558
2022-02-27,6.5,8,0.8229838658936564,0.5680647467311558
2022-02-28,7.6,9,0.8854560256532098,0.4647231720437686
2022-03-01,5.8,9,0.8854560256532098,0.4647231720437686
